"week","name","state","DOY","value"
12,"X20142015","Victoria",567,20.3
12,"X20152016","New South Wales",567,177
12,"X20152016","Queensland",567,1437
12,"X20152016","Victoria",567,31.3
12,"X20162017","New South Wales",567,18.2
12,"X20162017","Queensland",567,207
12,"X20162017","Victoria",567,0.7
12,"X20172018","New South Wales",567,467
12,"X20172018","Queensland",567,1609
12,"X20172018","Victoria",567,18.4
12,"X20182019","New South Wales",567,340
12,"X20182019","Queensland",567,2178
12,"X20182019","Victoria",567,14.2
12,"X20192020","New South Wales",567,618
12,"X20192020","Queensland",567,818
12,"X20192020","Victoria",567,20.3
13,"X20022003","New South Wales",616,924
13,"X20022003","Queensland",616,4529
13,"X20022003","Victoria",616,11.2
13,"X20032004","New South Wales",616,1327
13,"X20032004","Queensland",616,1987
13,"X20032004","Victoria",616,66.1
13,"X20042005","New South Wales",616,309
13,"X20042005","Queensland",616,1962
13,"X20042005","Victoria",616,14.3
13,"X20052006","New South Wales",616,192.1
13,"X20052006","Queensland",616,2590
13,"X20052006","Victoria",616,0.7
13,"X20062007","New South Wales",616,281
13,"X20062007","Queensland",616,1820
13,"X20062007","Victoria",616,15.2
13,"X20072008","New South Wales",616,425
13,"X20072008","Queensland",616,2755
13,"X20072008","Victoria",616,14.3
13,"X20082009","New South Wales",616,191
13,"X20082009","Queensland",616,1812
13,"X20082009","Victoria",616,70.1
13,"X20092010","New South Wales",616,585
13,"X20092010","Queensland",616,5509
13,"X20092010","Victoria",616,0.7
13,"X20102011","New South Wales",616,109
13,"X20102011","Queensland",616,442
13,"X20102011","Victoria",616,12.2
13,"X20112012","New South Wales",616,171.1
13,"X20112012","Queensland",616,6347
13,"X20112012","Victoria",616,31.2
13,"X20122013","New South Wales",616,422
13,"X20122013","Queensland",616,3714
13,"X20122013","Victoria",616,25.2
13,"X20132014","New South Wales",616,413
13,"X20132014","Queensland",616,2444
13,"X20132014","Victoria",616,16.2
13,"X20142015","New South Wales",616,206.1
13,"X20142015","Queensland",616,1386
13,"X20142015","Victoria",616,37.2
13,"X20152016","New South Wales",616,333
13,"X20152016","Queensland",616,2341
13,"X20152016","Victoria",616,33.1
13,"X20162017","New South Wales",616,126.1
13,"X20162017","Queensland",616,1238
13,"X20162017","Victoria",616,3.5
13,"X20172018","New South Wales",616,476
13,"X20172018","Queensland",616,1522
13,"X20172018","Victoria",616,91.1
13,"X20182019","New South Wales",616,175
13,"X20182019","Queensland",616,1584
13,"X20182019","Victoria",616,21.3
13,"X20192020","New South Wales",616,485
13,"X20192020","Queensland",616,915
13,"X20192020","Victoria",616,8.6
14,"X20022003","New South Wales",665,995
14,"X20022003","Queensland",665,3383
14,"X20022003","Victoria",665,6.4
14,"X20032004","New South Wales",665,68.2
14,"X20032004","Queensland",665,1826
14,"X20032004","Victoria",665,14.5
14,"X20042005","New South Wales",665,113
14,"X20042005","Queensland",665,3057
14,"X20042005","Victoria",665,7.3
14,"X20052006","New South Wales",665,534
14,"X20052006","Queensland",665,3876
14,"X20052006","Victoria",665,8.3
14,"X20062007","New South Wales",665,214
14,"X20062007","Queensland",665,2136
14,"X20062007","Victoria",665,26.1
14,"X20072008","New South Wales",665,561
14,"X20072008","Queensland",665,1212
14,"X20072008","Victoria",665,15.2
14,"X20082009","New South Wales",665,290
14,"X20082009","Queensland",665,2283
14,"X20082009","Victoria",665,22.3
14,"X20092010","New South Wales",665,297
14,"X20092010","Queensland",665,3027
14,"X20092010","Victoria",665,4.6
14,"X20102011","New South Wales",665,95.1
14,"X20102011","Queensland",665,1806
14,"X20102011","Victoria",665,14.3
14,"X20112012","New South Wales",665,25.3
14,"X20112012","Queensland",665,7384
14,"X20112012","Victoria",665,17.4
14,"X20122013","New South Wales",665,450
14,"X20122013","Queensland",665,1963
14,"X20122013","Victoria",665,38.2
14,"X20132014","New South Wales",665,156
14,"X20132014","Queensland",665,1702
14,"X20132014","Victoria",665,12.2
14,"X20142015","New South Wales",665,251
14,"X20142015","Queensland",665,2061
14,"X20142015","Victoria",665,89.1
14,"X20152016","New South Wales",665,270
14,"X20152016","Queensland",665,2604
14,"X20152016","Victoria",665,55.1
14,"X20162017","New South Wales",665,256
14,"X20162017","Queensland",665,1261
14,"X20162017","Victoria",665,0.7
14,"X20172018","New South Wales",665,52
14,"X20172018","Queensland",665,800
14,"X20172018","Victoria",665,54.2
14,"X20182019","New South Wales",665,87.2
14,"X20182019","Queensland",665,2763
14,"X20182019","Victoria",665,14.4
14,"X20192020","New South Wales",665,148
14,"X20192020","Queensland",665,1574
14,"X20192020","Victoria",665,48.2
15,"X20022003","New South Wales",714,702
15,"X20022003","Queensland",714,3414
15,"X20022003","Victoria",714,20.2
15,"X20032004","New South Wales",714,116
